Time,Float_Position,Float_Velocity,Float_Acceleration,Spar_Position,Spar_Velocity,Spar_Acceleration
81.67,-4.22197194694616,-0.375780745662974,-0.0597259059847672,-3.98605860480047,-0.0987121196966384,-0.00613885216123146
81.68,-4.22573272611068,-0.376373672920578,-0.0586698531633514,-3.98704603049053,-0.0987727996392144,-0.0060052584190402
81.69,-4.22949938090326,-0.376955787141821,-0.0575643267786004,-3.98803405602583,-0.0988320613916121,-0.00585527622895266
81.7,-4.23327180071892,-0.377526593291479,-0.0564093075850055,-3.98902266640426,-0.0988897408229025,-0.005688853424765
81.71,-4.23704987000161,-0.378085596223176,-0.05520479221622,-3.99001184497989,-0.098945673309228,-0.00550594349500282
81.72,-4.24083346824396,-0.378632300839689,-0.0539507934818477,-3.99100157345831,-0.0989996937910194,-0.00530650571823982
81.73,-4.2446224699885,-0.379166212256171,-0.0526473406569569,-3.99199183189259,-0.099051636831552,-0.00509050529571512
81.74,-4.24841674483072,-0.379686835966248,-0.0512944797639233,-3.99298259867979,-0.0991013366768122,-0.00485791348107812
81.75,-4.25221615742358,-0.380193678010878,-0.0498922738461604,-3.99397385055809,-0.0991486273166465,-0.00460870770708083
81.76,-4.25602056748394,-0.380686245149914,-0.0484408032334002,-3.99496556260457,-0.0991933425471609,-0.00434287170905687
81.77,-4.25982982980057,-0.381164045036269,-0.0469401657980949,-3.99595770823355,-0.0992353160343371,-0.0040603956450125
81.78,-4.26364379424395,-0.381626586392604,-0.0453904772025535,-3.99695025919563,-0.0992743813788311,-0.00376127621216668
81.79,-4.26746230577788,-0.382073379190435,-0.0437918711365031,-3.99794318557736,-0.0993103721819198,-0.00344551675978411
81.8,-4.27128520447288,-0.382503934831566,-0.0421444995446346,-3.9989364558016,-0.0993431221125541,-0.00311312739813461
81.81,-4.27511232552141,-0.382917766331746,-0.0404485328438262,-3.99993003662851,-0.0993724649754819,-0.00276412510342767
81.82,-4.27894349925491,-0.383314388506445,-0.0387041601297048,-4.00092389315727,-0.0993982347803993,-0.00239853381857531
81.83,-4.28277855116276,-0.38369331815864,-0.0369115893721736,-4.00191798882846,-0.0994202658120874,-0.00201638454962699
81.84,-4.28661730191308,-0.384054074268497,-0.0350710475996076,-4.00291228542719,-0.0994383927014895,-0.00161771545773666
81.85,-4.29045956737551,-0.384396178184839,-0.0331827810714225,-4.00390674308692,-0.0994524504976863,-0.00120257194652768
81.86,-4.29430515864577,-0.384719153818282,-0.0312470554386638,-4.00490132029396,-0.0994622747407191,-0.000771006744710785
81.87,-4.29815388207234,-0.385022527835907,-0.0292641558923556,-4.00589597389283,-0.0994677015352155,-0.00032307998382771
81.88,-4.30200553928496,-0.385305829857363,-0.0272343872993523,-4.0068906590922,-0.0994685676247663,0.000141140728998257
81.89,-4.30585992722513,-0.385568592652257,-0.0251580743253551,-4.00788532947167,-0.0994647104670045,0.000621580243443286
81.9,-4.30971683817865,-0.38581035233871,-0.0230355615449234,-4.00887993698933,-0.0994559683093334,0.00111815580359253
81.91,-4.31357605981004,-0.38603064858295,-0.0208672135381664,-4.00987443198999,-0.0994421802652526,0.00163077699090662
81.92,-4.31743737519908,-0.386229024799802,-0.0186534149739182,-4.01086876321427,-0.0994231863912248,0.00215934567264554
81.93,-4.32130056287925,-0.386405028353937,-0.0163945706791965,-4.01186287780836,-0.0993988277640325,0.00270375595584443
81.94,-4.32516539687829,-0.386558210761752,-0.014091105694691,-4.01285672133467,-0.0993689465585648,0.00326389414695028
81.95,-4.32903164676068,-0.386688127893733,-0.011743465316123,-4.01385023778316,-0.0993333861259794,0.00383963871720448
81.96,-4.33289907767223,-0.386794340177153,-0.00935211512132459,-4.01484336958351,-0.0992919910721809,0.00443086027384767
81.97,-4.33676745038664,-0.386876412798979,-0.00691754098281361,-4.01583605761807,-0.0992446073365586,0.00503742153724124
81.98,-4.34063652135412,-0.386933915908825,-0.00444024906575099,-4.01682824123557,-0.0991910822709205,0.00565917732397168
81.99,-4.34450604275205,-0.386966424821809,-0.00192076581117789,-4.01781985826566,-0.0991312647185689,0.00629597453599645
82,-4.34837576253759,-0.386973520221172,0.000640362095670053,-4.01881084503419,-0.0990650050934509,0.00694765215591436
82.01,-4.35224542450245,-0.386954788360508,0.00324256777197388,-4.01980113637937,-0.0989921554593271,0.00761404124838946
82.02,-4.35611476832954,-0.386909821265443,0.00588526419904384,-4.02079066566859,-0.0989125696088939,0.00829496496779981
82.03,-4.35998352965173,-0.386838216934629,0.00856784429917393,-4.02177936481615,-0.0988261031427982,0.00899023857214554
82.04,-4.36385144011257,-0.386739579539891,0.0112896810276715,-4.02276716430173,-0.0987326135484815,0.00969966944324393
82.05,-4.36771822742902,-0.386613519625378,0.0140501274801556,-4.02375399318965,-0.0986319602787903,0.010423057113259
82.06,-4.37158361545616,-0.386459654305562,0.0168485170151361,-4.0247397791489,-0.0985240048302884,0.0111601932975812
82.07,-4.37544732425389,-0.386277607461939,0.0196841633918502,-4.02572444847399,-0.0984086108212106,0.011910861934065
82.08,-4.37930907015555,-0.386067009938272,0.0225563609234175,-4.02670792610654,-0.0982856440689901,0.0126748392286539
82.09,-4.38316856583857,-0.385827499734226,0.0254643846452705,-4.02769013565766,-0.0981549726672987,0.013451893707389
82.1,-4.38702552039691,-0.385558722197244,0.0284074904987983,-4.02867099943109,-0.0980164670625346,0.0142417862747877
82.11,-4.39087963941555,-0.385260330212513,0.031384915530204,-4.02965043844714,-0.0978700001296951,0.0150442702786051
82.12,-4.39473062504679,-0.384931984390857,0.0343958781045115,-4.03062837246728,-0.0977154472475692,0.0158590915809524
82.13,-4.39857817608844,-0.384573353254424,0.0374395781345815,-4.03160472001965,-0.0975526863731879,0.0166859886357402
82.14,-4.40242198806382,-0.384184113420006,0.0405151973251514,-4.03257939842513,-0.0973815981154686,0.0175246925724455
82.15,-4.40626175330369,-0.383763949779838,0.0436218994316736,-4.03355232382424,-0.0972020658079903,0.0183749272861353
82.16,-4.4100971610298,-0.383312555679743,0.04675883053393,-4.03452341120479,-0.0970139755808378,0.0192364095337331
82.17,-4.41392789744037,-0.382829633094464,0.04992511932425,-4.03549257443015,-0.0968172164314521,0.0201088490364705
82.18,-4.41775364579724,-0.382314892800041,0.0531198774101326,-4.0364597262683,-0.0966116802944262,0.020991948588458
82.19,-4.4215740865147,-0.381768054543091,0.0563421996312001,-4.03742477842152,-0.0963972621101843,0.0218854041713373
82.2,-4.42538889725004,-0.381188847206851,0.0595911643902501,-4.03838764155683,-0.0961738598924861,0.0227889050749377
82.21,-4.42919775299577,-0.380577008973834,0.0628658339981781,-4.03934822533702,-0.095941374794693,0.0237021340238523
82.22,-4.43300032617335,-0.379932287484975,0.0661652550326514,-4.04030643845237,-0.0956997111747416,0.0246247673098772
82.23,-4.4367962867286,-0.379254439995117,0.0694884587102552,-4.04126218865306,-0.0954487766587625,0.0255564749302193
82.24,-4.44058530222858,-0.378543233524712,0.0728344612718505,-4.0422153827821,-0.0951884822032903,0.0264969207313654
82.25,-4.44436703796,-0.377798445007602,0.0762022643809988,-4.04316592680899,-0.0949187421560058,0.0274457625585517
82.26,-4.44814115702906,-0.377019861434754,0.0795908555350642,-4.0441137258639,-0.0946394743149583,0.0284026524106897
82.27,-4.45190732046273,-0.376207279993819,0.0829992084888246,-4.04505868427248,-0.0943505999862102,0.0293672366006729
82.28,-4.45566518731143,-0.375360508204395,0.0864262836902661,-4.0460007055912,-0.0940520440398539,0.0303391559209387
82.29,-4.45941441475293,-0.374479364048875,0.0898710287282239,-4.0469396926433,-0.0937437349643473,0.0313180458141517
82.3,-4.4631546581977,-0.373563676098753,0.0933323787916449,-4.0478755475552,-0.0934256049191177,0.0323035365489093
82.31,-4.46688557139535,-0.372613283636294,0.0968092571401043,-4.04880817179349,-0.0930975897853848,0.0332952534003265
82.32,-4.47060680654235,-0.371628036771428,0.100300575585202,-4.04973746620238,-0.0927596292151542,0.0342928168353524
82.33,-4.47431801439089,-0.370607796553789,0.1038052349826,-4.05066333104166,-0.0924116666783361,0.0352958427027034
82.34,-4.47801884435877,-0.36955243507978,0.107322125734277,-4.05158566602508,-0.0920536495079411,0.0363039424272546
82.35,-4.48170894464042,-0.368461835594562,0.110850128300612,-4.05250437035923,-0.0916855289433127,0.0373167232087289
82.36,-4.48538796231886,-0.367335892588876,0.114388113722018,-4.05341934278281,-0.0913072601713516,0.0383337882245516
82.37,-4.48905554347864,-0.366174511890607,0.117934944149681,-4.05433048160625,-0.0909188023656919,0.0393547368367035
82.38,-4.49271133331961,-0.364977610750991,0.121489473384985,-4.05523768475186,-0.0905201187237911,0.0403791648023914
82.39,-4.49635497627159,-0.363745117925388,0.125050547427331,-4.05614084979414,-0.0901111765018937,0.0414066644884075
82.4,-4.49998611610977,-0.362476973748539,0.128617005029814,-4.05703987400061,-0.0896919470478365,0.0424368250889627
82.41,-4.50360439607089,-0.361173130204225,0.132187678262452,-4.05793465437286,-0.0892624058316574,0.0434692328468559
82.42,-4.50720945897001,-0.35983355098926,0.1357613930825,-4.05882508768789,-0.0888225324739787,0.0445034712777876
82.43,-4.510800947318,-0.358458211571747,0.139336969911375,-4.05971107053978,-0.0883723107721323,0.045539121397622
82.44,-4.51437850343944,-0.357047099243534,0.142913224217864,-4.06059249938157,-0.0879117287239993,0.0465757619524411
82.45,-4.51794176959116,-0.355600213166806,0.146488967107107,-4.06146927056736,-0.087440778549536,0.0476129696511899
82.46,-4.52149038808113,-0.354117564414762,0.150063005914872,-4.06234128039467,-0.0869594567099632,0.0486503194007096
82.47,-4.52502400138772,-0.352599176006325,0.153634144806769,-4.06320842514686,-0.0864677639245933,0.0496873845429933
82.48,-4.52854225227937,-0.351045082934836,0.157201185381898,-4.06407060113588,-0.085965705185276,0.0507237370944559
82.49,-4.53204478393439,-0.349455332190692,0.160762927280415,-4.064927704745,-0.0854532897684435,0.0517589479870061
82.5,-4.53553124006105,-0.34782998277789,0.164318168794689,-4.0657796324717,-0.0849305312447361,0.0527925873107608
82.51,-4.53900126501777,-0.346169105724442,0.167865707483435,-4.06662628097069,-0.0843974474861947,0.0538242245581535
82.52,-4.54245450393338,-0.344472784086638,0.171404340788466,-4.06746754709691,-0.0838540606710075,0.0548534288692763
